NEW MIN IOU:  0.5
63.77% = aeroplane AP
82.48% = bicycle AP
86.08% = bird AP
40.82% = boat AP
40.52% = bottle AP
74.21% = bus AP
68.54% = car AP
81.59% = cat AP
33.23% = chair AP
60.63% = cow AP
31.22% = diningtable AP
79.58% = dog AP
58.82% = horse AP
69.81% = motorbike AP
63.37% = person AP
48.09% = pottedplant AP
50.90% = sheep AP
39.21% = sofa AP
84.62% = train AP
58.18% = tvmonitor AP
mAP = 60.78%
