NEW MIN IOU:  0.5
66.56% = aeroplane AP
89.14% = bicycle AP
88.71% = bird AP
44.77% = boat AP
40.57% = bottle AP
74.21% = bus AP
68.41% = car AP
84.24% = cat AP
35.08% = chair AP
60.63% = cow AP
31.50% = diningtable AP
79.34% = dog AP
58.82% = horse AP
70.50% = motorbike AP
64.55% = person AP
47.65% = pottedplant AP
50.90% = sheep AP
46.32% = sofa AP
84.62% = train AP
58.10% = tvmonitor AP
mAP = 62.23%
