NEW MIN IOU:  0.5
63.77% = aeroplane AP
89.02% = bicycle AP
86.08% = bird AP
44.77% = boat AP
40.64% = bottle AP
77.30% = bus AP
69.02% = car AP
96.20% = cat AP
43.64% = chair AP
71.06% = cow AP
35.25% = diningtable AP
83.73% = dog AP
63.54% = horse AP
71.94% = motorbike AP
65.13% = person AP
47.65% = pottedplant AP
48.64% = sheep AP
57.86% = sofa AP
88.30% = train AP
59.66% = tvmonitor AP
mAP = 65.16%
