NEW MIN IOU:  0.5
66.45% = aeroplane AP
89.02% = bicycle AP
86.08% = bird AP
40.42% = boat AP
40.25% = bottle AP
75.35% = bus AP
70.02% = car AP
84.16% = cat AP
37.70% = chair AP
70.22% = cow AP
35.42% = diningtable AP
88.11% = dog AP
60.52% = horse AP
72.77% = motorbike AP
65.04% = person AP
48.05% = pottedplant AP
51.20% = sheep AP
46.32% = sofa AP
87.98% = train AP
58.18% = tvmonitor AP
mAP = 63.66%
