NEW MIN IOU:  0.5
30.32% = aeroplane AP
50.98% = bicycle AP
40.00% = bird AP
0.67% = boat AP
46.26% = bottle AP
35.71% = bus AP
56.93% = car AP
51.78% = cat AP
30.82% = chair AP
43.60% = cow AP
23.06% = diningtable AP
49.68% = dog AP
29.18% = horse AP
60.26% = motorbike AP
61.72% = person AP
29.56% = pottedplant AP
11.34% = sheep AP
23.37% = sofa AP
25.03% = train AP
58.74% = tvmonitor AP
mAP = 37.95%
