NEW MIN IOU:  0.5
63.77% = aeroplane AP
89.14% = bicycle AP
86.08% = bird AP
44.77% = boat AP
40.19% = bottle AP
74.21% = bus AP
68.47% = car AP
84.09% = cat AP
38.21% = chair AP
69.96% = cow AP
31.50% = diningtable AP
84.05% = dog AP
61.57% = horse AP
70.36% = motorbike AP
63.94% = person AP
47.56% = pottedplant AP
50.90% = sheep AP
60.08% = sofa AP
88.30% = train AP
58.16% = tvmonitor AP
mAP = 63.77%
