label,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
aeroplane,179,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bicycle,1,232,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
bird,4,0,326,0,0,0,1,4,1,4,0,12,2,0,6,0,10,0,0,0
boat,6,0,0,167,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
bottle,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bus,2,0,0,0,0,140,23,0,0,0,0,0,0,0,0,0,0,0,26,0
car,8,1,0,3,0,44,881,0,0,1,0,0,0,31,2,0,0,0,5,0
cat,0,0,2,0,0,0,0,259,16,5,0,63,5,0,24,0,14,32,0,0
chair,1,2,0,1,0,0,0,0,474,0,7,0,0,0,5,0,0,72,0,1
cow,0,0,0,0,0,0,0,0,0,193,0,24,53,0,0,0,30,0,0,0
diningtable,0,0,0,0,0,0,0,0,4,0,125,0,0,0,0,0,0,4,0,0
dog,0,0,1,0,0,0,0,43,10,36,0,363,51,0,43,0,20,38,0,0
horse,0,0,0,0,0,0,1,2,0,42,0,18,266,1,9,0,9,1,0,0
motorbike,0,12,0,0,0,0,10,0,0,0,0,0,0,201,9,0,0,0,0,0
person,0,5,0,0,1,0,1,5,95,5,0,16,9,5,3058,0,0,100,0,0
pottedplant,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,198,0,2,0,0
sheep,0,0,6,0,0,0,0,2,1,33,0,8,6,0,0,0,166,0,0,0
sofa,0,0,0,0,0,0,0,0,88,0,1,0,0,1,13,0,0,238,0,0
train,5,0,0,2,0,4,4,0,0,0,0,0,0,1,0,0,0,0,190,0
tvmonitor,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,179
