Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
person,7,2,197,5,11,8,1,107,152,81,89,46,7,21,4,1,4,7,100,2,24,3,653,3,241,34,4,41,98,3,33,20,1,3,4,0,142,127,1,0,64,5,4,2,125,1,0,16,6,9493,0,22,27,4,3,3,15,2,15,49,31,4,2,1,34,68,63,13,8,0,5,2,11,7,19,16,48,10,3,3,0
pizza,0,3,0,8,0,0,0,1,1,0,0,0,7,0,56,6,0,103,0,3,0,1,1,0,0,0,1,70,0,28,0,0,7,1,0,0,1,0,25,0,0,9,0,0,0,0,1,13,0,7,232,0,0,0,129,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
potted plant,2,0,1,3,0,0,0,0,4,0,1,3,1,6,9,8,0,11,3,0,0,0,25,1,3,0,8,8,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,8,2,271,1,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,0,1,1,31,4,0,0
refrigerator,0,0,0,0,0,0,0,2,1,0,0,0,7,2,0,0,0,0,1,0,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,61,3,1,0,1,113,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,9,0,1,0,4,12,0,2,0,0,0
remote,0,0,1,1,0,2,0,1,1,1,0,0,29,10,4,0,0,1,1,0,0,69,3,2,2,0,9,1,0,0,0,0,2,3,0,4,2,0,3,14,0,10,6,0,0,11,0,0,0,4,2,0,0,185,3,0,0,0,0,0,0,5,1,0,3,0,1,2,1,0,0,8,0,0,1,1,0,0,0,0,0
sandwich,0,7,0,7,0,0,0,0,0,0,2,0,1,5,40,4,0,96,0,1,0,0,2,0,0,0,7,18,1,41,0,0,4,0,0,0,1,0,64,0,0,4,0,0,0,0,3,2,0,5,46,1,0,1,138,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
scissors,0,1,0,1,0,1,0,0,4,0,0,0,1,1,1,0,0,2,0,1,0,1,4,1,0,0,4,4,1,1,1,1,3,2,0,1,1,1,0,0,0,10,0,0,1,0,1,0,1,5,0,2,0,0,0,22,0,0,1,0,0,2,0,1,0,0,0,1,1,0,3,2,0,0,0,0,2,3,0,0,0
sheep,2,0,0,0,0,0,24,2,2,0,20,3,0,0,0,0,0,1,4,0,8,0,6,0,1,149,0,0,43,0,28,0,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,314,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,7,0
sink,0,0,0,0,0,0,0,5,4,0,0,1,5,1,32,0,0,1,2,0,0,1,13,0,3,0,3,11,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,2,0,0,0,17,0,0,0,0,1,0,0,0,0,179,0,0,0,0,0,0,2,0,0,0,0,0,29,0,1,0,1,1,0,1,0,0,0
skateboard,3,0,5,0,6,2,0,1,6,6,1,3,2,2,1,0,0,1,1,0,0,0,4,1,0,0,1,1,1,0,0,0,0,1,0,0,8,0,0,0,2,2,0,0,4,0,0,0,0,18,0,0,0,0,0,1,0,1,150,14,25,1,0,0,2,13,0,7,1,0,1,1,0,0,0,0,1,1,0,1,0
