Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
bowl,1,54,5,18,0,2,0,3,2,2,5,24,33,38,533,27,1,103,6,29,1,14,44,17,2,1,329,132,2,26,0,0,11,14,0,2,12,0,18,1,2,14,12,2,1,16,42,33,0,25,82,76,0,18,80,1,1,97,1,0,0,44,11,0,5,4,1,1,0,0,23,0,1,1,2,0,5,50,53,0,0
broccoli,0,0,0,2,0,0,0,0,0,0,2,0,0,1,18,238,0,3,0,17,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,7,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bus,8,0,2,1,0,0,0,18,18,1,0,34,3,2,0,0,253,10,99,0,0,12,3,12,8,0,0,7,5,0,6,0,0,0,0,0,0,0,6,4,10,0,2,12,8,1,0,29,0,1,6,1,23,0,0,0,0,0,6,0,0,0,0,2,16,15,0,0,0,0,0,0,1,221,201,27,2,0,0,2,0
cake,0,20,2,17,0,2,2,3,4,0,4,6,18,31,82,1,0,249,3,2,1,4,8,0,7,1,68,58,2,71,0,5,9,0,0,0,12,3,30,0,0,7,3,5,0,4,5,7,1,16,51,18,3,2,133,0,1,5,0,0,0,7,3,0,11,0,15,0,2,7,12,1,0,3,2,1,4,13,3,0,0
car,19,0,15,0,0,0,0,15,72,19,7,35,3,8,7,0,94,2,1512,0,2,18,59,6,9,20,0,16,7,0,12,2,0,0,0,0,12,1,0,0,7,0,11,1,379,3,0,13,3,68,0,3,1,1,0,0,13,8,8,0,2,1,1,1,51,5,1,0,0,0,2,0,1,50,960,14,7,0,1,6,0
carrot,0,22,0,13,3,0,0,0,0,0,0,1,0,1,19,30,0,9,0,243,1,0,1,1,1,0,4,16,0,15,0,0,6,0,0,0,2,0,54,1,0,6,0,0,0,0,75,0,0,12,3,1,0,1,15,2,0,0,0,0,0,11,0,0,0,0,2,0,1,0,0,6,0,0,0,0,2,0,0,0,0
cat,1,0,61,3,0,0,50,67,46,18,69,4,3,3,9,0,0,3,30,1,191,0,88,1,87,12,5,37,161,1,3,0,0,0,8,2,48,11,0,13,0,0,77,11,2,2,0,8,0,120,3,70,26,2,0,0,24,57,0,0,0,0,0,0,7,0,64,0,1,1,42,0,0,0,4,41,4,7,1,2,0
cell phone,0,0,4,1,0,1,0,4,2,1,0,1,31,6,5,0,3,3,4,0,0,174,16,24,2,0,14,7,1,1,0,0,9,0,0,4,18,0,0,22,0,33,55,4,1,28,0,4,8,17,1,0,2,123,1,19,0,0,2,2,3,10,1,0,8,2,0,3,5,5,5,15,4,0,2,18,1,1,3,0,0
chair,6,0,81,2,6,0,0,67,385,43,5,30,44,13,34,0,2,4,59,0,5,6,1315,3,394,6,48,575,6,0,4,2,4,6,3,1,135,16,1,0,3,9,39,6,36,4,0,28,2,267,0,16,16,2,1,5,2,25,3,5,6,6,1,0,133,19,14,15,1,2,50,0,2,1,18,36,37,15,4,2,0
clock,2,4,1,1,1,0,4,1,0,27,9,5,13,11,11,0,3,7,8,1,2,9,1,220,1,0,10,1,2,10,1,0,0,20,1,3,0,1,0,1,13,0,6,3,3,6,1,3,1,10,5,2,1,2,0,2,0,2,1,0,1,2,0,18,1,6,3,8,3,2,1,0,16,4,2,14,3,5,0,0,0
